converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3	p_value
ENSG00000105048	8.263	8.007	7.765	10.06	9.754	9.672	0.0006157639632796683
ENSG00000233493	0.7526	0.5957	0.7991	0.5295	0.3165	0.4345	0.02941457811484598
ENSG00000218891	1.32	1.464	1.521	0.8564	0.9535	1.016	0.002870945197123463
ENSG00000179943	1.766	1.776	1.816	1.669	1.719	1.597	0.032153392199993844
ENSG00000166770	2.897	2.98	3.374	1.899	1.686	2.555	0.025909489165536207
ENSG00000152439	0.6377	0.6996	0.6949	0.6045	0.5081	0.5588	0.024570226431584484
ENSG00000181894	5.767	5.204	5.184	4.252	4.947	4.489	0.04230037570857927
ENSG00000130725	30.8	27.03	26.91	33.53	31.69	33.29	0.030652049433885293
ENSG00000088833	14.68	14.42	14.77	16.63	16.08	17.09	0.0031118253421748374
ENSG00000101365	28.87	26.58	26.5	31.86	31.07	31.54	0.00673898889625617
ENSG00000235958	0.1458	0.1154	0.1548	0.2462	0.2452	0.1964	0.011140205338441985
ENSG00000101224	3.966	4.311	4.078	5.913	4.917	5.766	0.012367887009467336
ENSG00000088826	1.953	1.594	1.862	2.814	2.161	2.696	0.02972905888962044
ENSG00000101290	6.42	6.556	6.534	5.873	6.179	6.054	0.00890498045091662
ENSG00000125772	8.46	9.363	9.89	7.242	8.335	7.281	0.04228833192579016
ENSG00000125845	2.527	2.647	3.433	4.796	4.55	4.792	0.0033642818814957867
ENSG00000125827	3.257	3.494	3.412	2.834	3.052	2.652	0.01592626327872947
ENSG00000101333	4.081	3.606	4.109	2.99	3.327	3.364	0.025107596824948043
ENSG00000149346	1.41	1.557	1.538	1.145	1.246	1.092	0.006192053505851967
ENSG00000132640	2.65	2.457	2.7	2.091	1.861	2.312	0.02645346493968249
ENSG00000172296	2.003	2.196	2.464	1.281	1.319	1.463	0.003908004530395679
ENSG00000212232	10.21	11.65	9.764	14.29	16.71	12.74	0.034974728642027726
ENSG00000132669	7.194	7.0	7.546	6.528	6.825	6.186	0.03975634505602989
ENSG00000101343	4.711	4.347	5.055	3.352	3.589	3.878	0.012550563075563088
ENSG00000088970	3.865	3.844	3.71	2.734	3.109	3.022	0.0023062956318694572
ENSG00000178726	6.037	7.839	8.557	4.117	3.267	3.588	0.008405205693940558
ENSG00000154930	0.4554	0.4634	0.3108	0.2746	0.2006	0.2442	0.03460728943814522
ENSG00000281376	9.895	9.536	9.971	12.38	10.9	11.58	0.015364391945609839
ENSG00000101306	0.0	0.0	0.0	0.0263	0.0262	0.06294	0.034635301492801925
ENSG00000260903	0.0	0.0	0.006014	0.009565	0.01906	0.01308	0.025396691725758713
ENSG00000126003	4.441	4.645	4.924	5.242	5.068	5.169	0.030194369784900248
ENSG00000198547	0.01138	0.01201	0.008057	0.0	0.0	0.0	0.001027986584668301
ENSG00000198183	1.277	1.22	0.9902	1.575	2.183	1.92	0.020594548836044897
ENSG00000101417	2.39	2.28	2.66	1.526	1.714	2.066	0.02557200998677742
ENSG00000101444	79.91	79.96	81.47	78.44	79.01	77.46	0.03495627130301754
ENSG00000260032	45.41	42.45	47.89	33.23	37.97	38.62	0.02022678240305682
ENSG00000088367	4.266	4.066	3.818	3.719	3.228	3.528	0.044363990116946556
ENSG00000259399	35.21	31.54	33.45	36.12	38.97	39.46	0.03229496795293407
ENSG00000101084	33.39	30.9	31.61	34.85	36.54	37.23	0.014362606190598393
